city,state,10th,25th,50th,75th,90th,date
Fall River,MA,53617,61500,70158,80132,89212,"June 26, 2023"
Fitchburg,MA,53725,61624,70300,80293,89392,"June 26, 2023"
Framingham,MA,54826,62887,71741,81939,91224,"June 26, 2023"
Haverhill,MA,53818,61731,70422,80433,89547,"June 26, 2023"
Holyoke,MA,52647,60387,68889,78682,87598,"June 26, 2023"
Hyannis,MA,53447,61305,69936,79879,88930,"June 26, 2023"
Lawrence,MA,53818,61731,70422,80433,89547,"June 26, 2023"
Leominster,MA,53060,60862,69430,79300,88286,"June 26, 2023"
Lowell,MA,54972,63054,71932,82157,91467,"June 26, 2023"
Lynn,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Malden,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Medford,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Methuen,MA,53818,61731,70422,80433,89547,"June 26, 2023"
New Bedford,MA,53617,61500,70158,80132,89212,"June 26, 2023"
Newton,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Peabody,MA,56709,65046,74204,84753,94357,"June 26, 2023"
Pittsfield,MA,51443,59007,67314,76883,85596,"June 26, 2023"
Plymouth,MA,54451,62456,71249,81378,90600,"June 26, 2023"
Quincy,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Revere,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Salem,MA,56709,65046,74204,84753,94357,"June 26, 2023"
Somerville,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Springfield,MA,52647,60387,68889,78682,87598,"June 26, 2023"
Taunton,MA,54977,63060,71938,82165,91476,"June 26, 2023"
Waltham,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Westfield,MA,52647,60387,68889,78682,87598,"June 26, 2023"
,,,,,,,
Worcester,MA,53178,60997,69584,79476,88483,"June 26, 2023"
Baltimore,MD,51803,59419,67784,77420,86194,"June 26, 2023"
Bethesda,MD,56096,64343,73402,83837,93337,"June 26, 2023"
Bowie,MD,55978,64208,73248,83661,93141,"June 26, 2023"
Columbia,MD,51718,59322,67674,77295,86054,"June 26, 2023"
Dundalk,MD,51803,59419,67784,77420,86194,"June 26, 2023"
Ellicott City,MD,51769,59380,67740,77370,86137,"June 26, 2023"
Frederick,MD,54127,62085,70825,80894,90060,"June 26, 2023"
Gaithersburg,MD,55945,64170,73204,83611,93086,"June 26, 2023"
Germantown,MD,54446,62451,71243,81371,90592,"June 26, 2023"
Glen Burnie,MD,51803,59419,67784,77420,86194,"June 26, 2023"
Potomac,MD,56062,64305,73358,83786,93281,"June 26, 2023"
Rockville,MD,56028,64266,73314,83736,93225,"June 26, 2023"
Silver Spring,MD,56096,64343,73402,83837,93337,"June 26, 2023"
Towson,MD,51803,59419,67784,77420,86194,"June 26, 2023"
Waldorf,MD,55945,64170,73204,83611,93086,"June 26, 2023"
Auburn,ME,49197,56431,64375,73527,81859,"June 26, 2023"
Augusta,ME,47373,54338,61988,70800,78823,"June 26, 2023"
Bangor,ME,46052,52823,60259,68826,76625,"June 26, 2023"
Biddeford,ME,49466,56739,64727,73929,82306,"June 26, 2023"
Lewiston,ME,49197,56431,64375,73527,81859,"June 26, 2023"
Portland,ME,49701,57009,65035,74280,82697,"June 26, 2023"
Saco,ME,49600,56893,64903,74129,82529,"June 26, 2023"
South Portland,ME,49701,57009,65035,74280,82697,"June 26, 2023"
Westbrook,ME,49701,57009,65035,74280,82697,"June 26, 2023"
